iter	Passed	Remaining
1088	89379	156844
1089	89478	156791
1090	89546	156686
1091	89612	156575
1092	89702	156506
1093	89773	156405
1094	89876	156361
1095	89967	156293
1096	90058	156227
1097	90130	156126
1098	90218	156056
1099	90290	155955
1100	90388	155902
1101	90479	155834
1102	90560	155750
1103	90651	155684
1104	90731	155598
1105	90808	155508
1106	90901	155443
1107	90969	155337
1108	91052	155257
1109	91132	155172
1110	91219	155098
1111	91301	155014
1112	91385	154937
1113	91471	154861
1114	91543	154762
1115	91617	154665
1116	91707	154596
1117	91815	154559
1118	91895	154472
1119	91990	154412
1120	92090	154360
1121	92158	154254
1122	92228	154152
1123	92307	154064
1124	92408	154014
1125	92492	153935
1126	92590	153879
1127	92700	153844
1128	92780	153758
1129	92864	153678
1130	92957	153613
1131	93046	153543
1132	93151	153498
1133	93234	153417
1134	93310	153325
1135	93396	153249
1136	93477	153164
1137	93556	153077
1138	93623	152970
1139	93715	152904
1140	93790	152810
1141	93873	152729
1142	93934	152613
1143	94001	152505
1144	94096	152445
1145	94175	152357
1146	94272	152298
1147	94381	152260
1148	94475	152197
1149	94553	152107
1150	94632	152019
1151	94717	151941
1152	94814	151884
1153	94897	151802
1154	94976	151714
1155	95064	151641
1156	95120	151518
1157	95220	151464
1158	95296	151372
1159	95397	151319
1160	95479	151236
1161	95570	151169
1162	95650	151082
1163	95744	151019
1164	95841	150960
1165	95923	150878
1166	95996	150781
1167	96087	150712
1168	96174	150637
1169	96282	150595
1170	96373	150527
1171	96461	150453
1172	96557	150392
1173	96631	150298
1174	96738	150253
1175	96818	150167
1176	96898	150081
1177	96985	150006
1178	97067	149923
1179	97162	149860
1180	97235	149764
1181	97330	149700
1182	97424	149636
1183	97513	149564
1184	97607	149499
1185	97699	149432
1186	97779	149346
1187	97864	149267
1188	97957	149201
1189	98027	149100
1190	98112	149022
1191	98188	148929
1192	98297	148888
1193	98379	148805
1194	98476	148744
1195	98562	148668
1196	98642	148581
